PROV,ED_CODE,ED_NAMEE,ED_NAMEF,POPULATION,ELECTEURS_AUTOCHTONES,TAUX_PARTICIPATION
Saskatchewan,47014,Yorkton--Melville,Yorkton--Melville,71220,3672,63.0
Alberta,48001,Banff--Airdrie,Banff--Airdrie,155580,3142,38.7
Alberta,48003,Bow River,Bow River,119458,2076,17.1
Alberta,48021,Edmonton--Wetaskiwin,Edmonton--Wetaskiwin,209431,540,56.8
Alberta,48022,Foothills,Foothills,115118,3457,39.8
Alberta,48023,Fort McMurray--Cold Lake,Fort McMurray--Cold Lake,110163,6036,39.9
Alberta,48024,Grande Prairie--Mackenzie,Grande Prairie--Mackenzie,119586,2581,34.4
Alberta,48025,Lakeland,Lakeland,105993,4834,31.4
Alberta,48027,Medicine Hat--Cardston--Warner,Medicine Hat--Cardston--Warner,108391,3080,17.3
Alberta,48028,Peace River--Westlock,Peace River--Westlock,107223,6867,48.7
Alberta,48030,Red Deer--Lacombe,Red Deer--Lacombe,131575,4515,21.7
Alberta,48033,Sturgeon River--Parkland,Sturgeon River--Parkland,124849,1611,28.3
Alberta,48034,Yellowhead,Yellowhead,99218,3402,50.0
Colombie-Britannique,59001,Abbotsford,Abbotsford,110331,1001,65.1
Colombie-Britannique,59002,Burnaby North--Seymour,Burnaby-Nord--Seymour,108794,4866,68.1
Colombie-Britannique,59004,Cariboo--Prince George,Cariboo--Prince George,111226,6169,53.6
Colombie-Britannique,59005,Central Okanagan--Similkameen--Nicola,Central Okanagan--Similkameen--Nicola,122340,19463,61.9
Colombie-Britannique,59006,Chilliwack--Hope,Chilliwack--Hope,112037,12558,60.7
Colombie-Britannique,59009,Courtenay--Alberni,Courtenay--Alberni,125116,5441,55.8
Colombie-Britannique,59010,Cowichan--Malahat--Langford,Cowichan--Malahat--Langford,124247,8818,58.9
Colombie-Britannique,59011,Delta,Delta,110721,378,70.2
Colombie-Britannique,59012,Fleetwood--Port Kells,Fleetwood--Port Kells,124987,600,60.3
Colombie-Britannique,59013,Kamloops--Thompson--Cariboo,Kamloops--Thompson--Cariboo,135492,7180,65.1
Colombie-Britannique,59014,Kelowna--Lake Country,Kelowna--Lake Country,136290,2453,56.1
Colombie-Britannique,59015,Kootenay--Columbia,Kootenay--Columbia,120759,2972,65.1
Colombie-Britannique,59016,Langley--Aldergrove,Langley--Aldergrove,133168,1421,67.6
Colombie-Britannique,59017,Mission--Matsqui--Fraser Canyon,Mission--Matsqui--Fraser Canyon,101216,12688,53.0
Colombie-Britannique,59018,Nanaimo--Ladysmith,Nanaimo--Ladysmith,134509,3519,51.3
Colombie-Britannique,59020,North Okanagan--Shuswap,North Okanagan--Shuswap,136520,11466,59.9
Colombie-Britannique,59021,North Vancouver,North Vancouver,123025,1542,49.9
Colombie-Britannique,59022,Pitt Meadows--Maple Ridge,Pitt Meadows--Maple Ridge,110416,1085,68.1
Colombie-Britannique,59023,Port Moody--Coquitlam,Port Moody--Coquitlam,114853,411,56.1
Colombie-Britannique,59024,Prince George--Peace River--Northern Rockies,Prince George--Peace River--Northern Rockies,108998,3126,51.8
Colombie-Britannique,59026,Esquimalt--Saanich--Sooke,Esquimalt--Saanich--Sooke,128644,3863,55.1
Colombie-Britannique,59027,Saanich--Gulf Islands,Saanich--Gulf Islands,113541,4408,54.5
Colombie-Britannique,59028,Skeena--Bulkley Valley,Skeena--Bulkley Valley,89689,17636,46.7
Colombie-Britannique,59029,South Okanagan--West Kootenay,Okanagan-Sud--Kootenay-Ouest,123487,7439,64.5
Colombie-Britannique,59030,South Surrey--White Rock,Surrey-Sud--White Rock,119672,79,49.3
Colombie-Britannique,59037,North Island--Powell River,North Island--Powell River,111825,6244,54.3
Colombie-Britannique,59039,Vancouver Quadra,Vancouver Quadra,109328,1251,48.0
Colombie-Britannique,59042,West Vancouver--Sunshine Coast--Sea to Sky Country,West Vancouver--Sunshine Coast--Sea to Sky Country,131206,11345,58.2
Territoires du Nord-Ouest,61001,Northwest Territories,Territoires du Nord-Ouest,41070,179,22.8
